date,geo,component,price_index,status,year,month
1981-01-01,Canada,Total (house and land),38.2,,1981,1
1981-01-01,Canada,House only,36.1,,1981,1
1981-01-01,Canada,Land only,40.6,E,1981,1
1981-01-01,"St. John's, Newfoundland and Labrador",Total (house and land),36.1,,1981,1
1981-01-01,"St. John's, Newfoundland and Labrador",House only,37.5,,1981,1
1981-01-01,"St. John's, Newfoundland and Labrador",Land only,31.4,E,1981,1
1981-01-01,"Halifax, Nova Scotia",Land only,32.5,E,1981,1
1981-01-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),55.9,,1981,1
1981-01-01,"Saint John, Fredericton, and Moncton, New Brunswick",House only,61.4,,1981,1
1981-01-01,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,38.0,E,1981,1
1981-01-01,"Québec, Quebec",Total (house and land),30.1,,1981,1
1981-01-01,"Québec, Quebec",House only,34.9,,1981,1
1981-01-01,"Québec, Quebec",Land only,19.8,E,1981,1
1981-01-01,"Montréal, Quebec",Total (house and land),28.5,,1981,1
1981-01-01,"Montréal, Quebec",House only,30.0,,1981,1
1981-01-01,"Montréal, Quebec",Land only,20.3,E,1981,1
1981-01-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),32.6,,1981,1
1981-01-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,30.8,,1981,1
1981-01-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,39.9,E,1981,1
1981-01-01,"Toronto, Ontario",Total (house and land),28.0,,1981,1
1981-01-01,"Toronto, Ontario",House only,22.6,,1981,1
1981-01-01,"Toronto, Ontario",Land only,39.1,E,1981,1
1981-01-01,"Hamilton, Ontario",Total (house and land),30.3,,1981,1
1981-01-01,"Hamilton, Ontario",House only,24.8,,1981,1
1981-01-01,"Hamilton, Ontario",Land only,46.0,E,1981,1
1981-01-01,"St. Catharines-Niagara, Ontario",Total (house and land),30.6,,1981,1
1981-01-01,"St. Catharines-Niagara, Ontario",House only,28.3,,1981,1
1981-01-01,"St. Catharines-Niagara, Ontario",Land only,35.6,E,1981,1
1981-01-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),34.0,,1981,1
1981-01-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,30.4,,1981,1
1981-01-01,"Kitchener-Cambridge-Waterloo, Ontario",Land only,43.4,E,1981,1
1981-01-01,"London, Ontario",Total (house and land),31.8,,1981,1
1981-01-01,"London, Ontario",House only,27.0,,1981,1
1981-01-01,"London, Ontario",Land only,51.0,E,1981,1
1981-01-01,"Windsor, Ontario",Total (house and land),61.2,,1981,1
1981-01-01,"Windsor, Ontario",House only,64.9,,1981,1
1981-01-01,"Windsor, Ontario",Land only,47.5,E,1981,1
1981-01-01,"Greater Sudbury, Ontario",Total (house and land),54.7,,1981,1
1981-01-01,"Greater Sudbury, Ontario",House only,54.6,,1981,1
1981-01-01,"Greater Sudbury, Ontario",Land only,51.4,E,1981,1
1981-01-01,"Winnipeg, Manitoba",Total (house and land),26.6,,1981,1
1981-01-01,"Winnipeg, Manitoba",House only,29.3,,1981,1
1981-01-01,"Winnipeg, Manitoba",Land only,18.7,E,1981,1
1981-01-01,"Regina, Saskatchewan",Total (house and land),19.8,,1981,1
1981-01-01,"Regina, Saskatchewan",House only,20.7,,1981,1
1981-01-01,"Regina, Saskatchewan",Land only,16.7,E,1981,1
1981-01-01,"Saskatoon, Saskatchewan",Total (house and land),33.0,,1981,1
1981-01-01,"Saskatoon, Saskatchewan",House only,35.8,,1981,1
1981-01-01,"Saskatoon, Saskatchewan",Land only,26.0,E,1981,1
1981-01-01,"Calgary, Alberta",Total (house and land),25.3,,1981,1
1981-01-01,"Calgary, Alberta",House only,27.8,,1981,1
1981-01-01,"Calgary, Alberta",Land only,19.4,E,1981,1
1981-01-01,"Edmonton, Alberta",Total (house and land),35.8,,1981,1
